Planet Name,Stellar Magnitude,Discovery Date,Planet Type,Discovery Method,Orbital Radius,Eccentricity,Planet Mass (Jupiter),Planet Radius (Jupiter),Distance (light-years),Orbital Period (Years)
G 264-012 b,13.078,2021,Super Earth,Radial Velocity,0.02279,0.07689300021083703,0.007866582756450597,0.12410714285714286,52.21431404,0.006297056810403832
Kepler-129 d,11.809,2021,Gas Giant,Radial Velocity,4.0,0.15,8.3,1.12,1333.4724982,7.2
GJ 849 c,10.41,2014,Gas Giant,Radial Velocity,4.95,0.09,0.99,1.23,28.703619704799998,16.4
WASP-110 b,12.762,2021,Gas Giant,Transit,15.25358028598593,0.0,0.51,1.238,896.7985375999999,0.010403832991101985
KOI-3503 c,13.831,2021,Super Earth,Transit,0.1911,0.0,0.03259911894273127,0.10803571428571429,2893.2124598399996,0.08706365503080082
KOI-3503 b,13.831,2021,Super Earth,Transit,0.1462,0.0,0.028949024543738197,0.10625,2893.2124598399996,0.05804243668720054
KOI-1833 d,14.626,2021,Super Earth,Transit,0.0634,0.0,0.03467589679043423,0.23035714285714287,946.90914544,0.021081451060917182
KOI-1831 d,14.222,2021,Super Earth,Transit,0.1949,0.0,0.007016991818753933,0.10089285714285715,1635.9136954399999,0.09363449691991788
HD 95735 c,7.421,2021,Neptune-like,Radial Velocity,2.94,0.13,0.04279421019509125,0.335,8.304257916,8.1
HD 68988 c,8.2,2021,Gas Giant,Radial Velocity,13.2,0.45,15.0,1.09,198.448639732,43.8
HD 66428 c,8.25,2021,Gas Giant,Radial Velocity,9.408,0.21,1.764,1.2,173.781461452,28.7
HD 3765 b,7.36,2021,Gas Giant,Radial Velocity,2.108,0.3,0.173,0.764,58.46672455999999,3.3
HD 26161 b,6.89333,2021,Gas Giant,Radial Velocity,10.087,0.92,28.46,1.06,133.439551968,30.0
HD 24040 c,7.515,2021,Gas Giant,Radial Velocity,1.3,0.11,0.201,0.834,152.061754944,1.4
HD 213472 b,8.17,2021,Gas Giant,Radial Velocity,13.0,0.53,3.5,1.17,210.21634821199996,46.6
HD 168009 b,6.295,2021,Neptune-like,Radial Velocity,0.1192,0.12,0.030002674638137192,0.272,76.004784992,0.041341546885694726
HD 164922 e,7.01227,2021,Neptune-like,Radial Velocity,0.2292,0.09,0.03310295783511642,0.288,71.75953849599999,0.11444216290212182
HD 156668 c,8.43,2021,Neptune-like,Radial Velocity,1.57,0.09,0.09910887350534928,0.55,79.361256388,2.2
HD 152843 c,8.855,2021,Neptune-like,Transit,15.25358028598593,0.12,0.08653241032095657,0.52,351.91580087999995,0.06680355920602327
HD 152843 b,8.855,2021,Neptune-like,Transit,0.1053,0.14,0.036375078665827565,0.304,351.91580087999995,0.03175906913073238
HD 145675 c,6.61935,2021,Gas Giant,Radial Velocity,11.924,0.39,5.025,1.15,58.487272388,43.1
HD 141004 b,4.422,2021,Neptune-like,Radial Velocity,0.1238,0.16,0.042903838892385145,0.336,38.864422804,0.04243668720054757
HD 136925 b,7.91433,2021,Gas Giant,Radial Velocity,5.13,0.1,0.84,1.24,156.14392344,12.4
